2022-03-24 15:08:57.4059|Info|Now listening on: http://localhost:5272 |address=http://localhost:5272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-24 15:09:30.1377|Info|Запрос на добавление Transfer в контроллере | 
2022-03-24 15:09:30.2009|Info|Запрос на добавление Transfer | 
2022-03-24 15:09:30.2009|Info|Запрос на проверку валюты | 
2022-03-24 15:09:30.2290|Info|Запрос на проверку валюты | 
2022-03-24 15:09:30.2343|Info|Запрос на конвертацию валюты с RSD в RUB  | 
2022-03-24 15:09:30.2614|Info|Валюта конвертирована | 
2022-03-24 15:09:30.7721|Info|Подключение к базе данных. | 
2022-03-24 15:09:30.7944|Info|Подключение произведено. | 
2022-03-24 15:09:32.6133|Debug|Exception: The best overloaded method match for 'System.Collections.Generic.List<long>.Add(long)' has some invalid arguments | 
2022-03-24 15:11:51.1065|Info|Now listening on: https://localhost:7272 |address=https://localhost:7272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-24 15:11:51.2087|Info|Now listening on: http://localhost:5272 |address=http://localhost:5272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-24 15:12:24.3278|Info|Запрос на добавление Transfer в контроллере | 
2022-03-24 15:12:24.4385|Info|Запрос на добавление Transfer | 
2022-03-24 15:12:24.4385|Info|Запрос на проверку валюты | 
2022-03-24 15:12:24.4385|Info|Запрос на проверку валюты | 
2022-03-24 15:12:24.4509|Info|Запрос на конвертацию валюты с RSD в RUB  | 
2022-03-24 15:12:24.4797|Info|Валюта конвертирована | 
2022-03-24 15:12:24.5453|Info|Подключение к базе данных. | 
2022-03-24 15:12:24.5453|Info|Подключение произведено. | 
2022-03-24 15:12:27.9337|Debug|Exception: The best overloaded method match for 'System.Collections.Generic.List<long>.Add(long)' has some invalid arguments | 
2022-03-24 15:14:24.7636|Info|Now listening on: https://localhost:7272 |address=https://localhost:7272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-24 15:14:24.9037|Info|Now listening on: http://localhost:5272 |address=http://localhost:5272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-24 15:15:09.1792|Info|Запрос на добавление Transfer в контроллере | 
2022-03-24 15:15:09.2438|Info|Запрос на добавление Transfer | 
2022-03-24 15:15:09.2503|Info|Запрос на проверку валюты | 
2022-03-24 15:15:09.2503|Info|Запрос на проверку валюты | 
2022-03-24 15:15:09.2503|Info|Запрос на конвертацию валюты с RSD в RUB  | 
2022-03-24 15:15:09.2814|Info|Валюта конвертирована | 
2022-03-24 15:15:09.7515|Info|Подключение к базе данных. | 
2022-03-24 15:15:09.7515|Info|Подключение произведено. | 
